x,y,z,nearest_et_grid_distance_um,T_ET,T_TCAM,P,V,A,k,Cp,rho,Tliq,Tevap,r_xy,r_3d,delta_T,delta_T_pred,delta_T_std,T_corrected
-244.017,73.6567,-154.759,0.8332015902528842,647.4263085581813,980.7457693658356,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,254.891360669384,298.19448993046467,333.3194608076543,333.03608292149994,192.02132360854702,980.4623914796812
-263.832,104.872,-136.346,0.9530603338718828,683.9813152058542,974.2824778907054,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,283.91100825434717,314.95347644374397,290.3011626848512,297.5155366695892,201.95018306251382,981.4968518754434
-227.92,50.0878,-56.2808,0.30488929138293114,1997.2016100561464,2097.260424104695,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,233.35876694231993,240.04966685559052,100.05881404854881,93.4586921831525,175.3283453813872,2090.6603022392987
-340.491,160.262,-198.02200000000002,0.5569640921998343,398.56839324687667,499.6284955761832,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,376.3217104087937,425.241980769773,101.06010232930652,106.39542877580652,189.20944679161474,504.9638220226832
-315.332,105.61999999999999,-155.37099999999998,0.9931087553737887,618.8835695277219,834.2327087151444,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,332.5505294297394,367.0558571457483,215.34913918742257,231.52263655940948,206.91445412660613,850.4062060871313
-73.097,182.465,-158.52100000000002,1.141523105329016,311.3769976134414,428.44705422101083,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,196.56207069015122,252.5184252188343,117.07005660756943,115.39414417622783,211.8589575655297,426.77114178966923
-51.473600000000005,189.362,-172.452,0.9425735833344654,303.3474696485424,379.3833795134672,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,196.23327582487124,261.2416330621136,76.0359098649248,62.07662460330164,241.1925124157806,365.42409425184405
-310.59000000000003,143.554,-60.930600000000005,1.1887103768370126,896.9294115026357,1083.4907985465284,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,342.16063335223123,347.5434318647959,186.56138704389264,180.71200448931722,182.1677456062574,1077.641415991953
-264.723,155.406,-95.37450000000001,1.1255288756846857,653.896322205693,913.8506234827471,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,306.9678998934579,321.4429759930212,259.9543012770541,247.94331485967763,202.5742299309626,901.8396370653707
-286.313,182.85600000000002,-47.3817,1.1013627422425658,651.4470157886019,879.2517609584119,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,339.72260846902725,343.01089807743716,227.80474516980996,218.83982372106607,192.32434624503713,870.286839509668
-265.56399999999996,127.988,-52.9077,1.0070547601793938,1065.4834064327522,1260.624135175559,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,294.7968219638739,299.5069130409013,195.1407287428069,184.852098231583,186.82386373314813,1250.335504664335
-317.03999999999996,101.208,-96.71209999999999,1.4338585739186487,1004.5978692201019,1187.3374751208107,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,332.8023750876787,346.5698358922917,182.73960590070885,165.378856326274,190.26855002788025,1169.9767255463757
-319.884,164.745,-101.34800000000001,0.9967873394059654,624.832835268809,845.46644980907,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,359.8147974736448,373.8156037206045,220.63361454026096,205.30440537270107,201.20267469993038,830.1372406415101
-164.893,79.147,-128.806,1.474684373010023,707.4543704203678,1202.6641990490932,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,182.90420732722362,223.70725221592616,495.2098286287254,496.5984160321725,178.66963605814158,1204.0527864525402
-212.95499999999998,62.523300000000006,-159.898,1.093742149686105,601.242073757528,991.7607982461112,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,221.94367544016657,273.5440832331966,390.5187244885832,392.36769378543795,184.14824566619927,993.609767542966
-214.193,46.3037,-136.393,0.5328524092091377,838.0949243202423,1279.4617850835177,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,219.14076271358098,258.1195930798164,441.36686076327544,454.17705873464524,180.70206856773012,1292.2719830548876
-211.688,70.8529,-132.442,1.0100229749862117,789.385996887347,1208.6753500607088,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,223.23069408665557,259.5627595523094,419.28935317336175,425.67815768476476,182.60405828889841,1215.0641545721119
-227.255,56.6913,-146.09799999999998,1.0210409835065368,736.2318544672931,1131.2573792466828,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,234.21942387575373,276.0495682385502,395.0255247793897,416.42435030804796,201.14558755136656,1152.6562047753412
-129.759,196.20600000000002,-43.5626,0.5402182521907565,436.99392487968964,653.9011803885387,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,235.23220977791286,239.23188047532463,216.90725550884906,215.6790331686512,193.86459632583217,652.6729580483409
-211.683,71.1458,-59.368900000000004,1.1083473507885722,1741.5290231508686,1915.7219631944395,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,223.3190931081353,231.07592612353628,174.19294004357084,167.13689340603122,176.0515758865715,1908.6659165569
-221.56199999999998,66.99329999999999,-32.7314,1.308982371921011,2106.49706326063,2120.2998560749825,250.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,231.46883610734727,233.77161212356384,13.802792814352415,28.76950187521129,179.46032643248634,2135.266565135841
