Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
4.6645e+07,-0.165382,0.895434,-0.411589,-0.00013665,3.02287e-05,-1.10482e-05,0.0826908,3454.85
3.91233e+07,-0.165381,0.645112,-0.745931,-0.000146883,1.90944e-05,-2.34809e-05,0.0826903,3454.85
5.75101e+07,-0.165377,0.948589,-0.260936,-0.000116894,3.51959e-05,-6.19429e-06,0.0826887,3454.85
3.94396e+07,-0.165377,0.640181,-0.750151,-0.000144727,1.89342e-05,-2.41007e-05,0.0826884,3454.85
4.07098e+07,-0.165377,0.70537,-0.68684,-0.000137603,2.28968e-05,-2.23005e-05,0.0826884,3454.85
5.20617e+07,-0.165373,0.611626,-0.771554,-0.000105285,1.88472e-05,-3.51126e-05,0.0826863,3454.85
3.33794e+07,-0.165373,0.961738,-0.218418,-0.000179531,2.44878e-05,0,0.0826863,3454.85
5.05087e+07,-0.165371,0.768232,-0.617058,-0.000119068,2.51525e-05,-2.46701e-05,0.0826856,3454.85
3.93046e+07,-0.16537,0.643263,-0.74754,-0.000145926,1.9425e-05,-2.3395e-05,0.0826851,3454.85
3.81282e+07,-0.16537,0.488613,-0.854338,-0.000133778,1.12389e-05,-3.18544e-05,0.082685,3454.85
4.97132e+07,-0.16537,0.957642,-0.233263,-0.00013552,3.21851e-05,-5.92044e-06,0.0826848,3454.85
3.71518e+07,-0.165367,0.632238,-0.756897,-0.000142959,1.60316e-05,-2.68622e-05,0.0826833,3454.85
4.43739e+07,-0.165366,0.658648,-0.733151,-0.000120532,1.74425e-05,-3.19923e-05,0.082683,3454.85
9.14469e+07,-0.165365,0.791993,-0.586475,-6.20706e-05,2.08157e-05,-4.28565e-05,0.0826826,3454.85
4.36533e+07,-0.165365,0.950295,-0.259057,-0.000147781,2.86461e-05,-1.13002e-05,0.0826823,3454.85
5.73718e+07,-0.16536,0.920955,-0.350267,-0.000114572,3.4062e-05,-1.06711e-05,0.0826798,3454.85
5.12186e+07,-0.165359,0.749862,-0.640144,-0.000115416,2.41221e-05,-2.69172e-05,0.0826793,3454.85
4.43616e+07,-0.165357,0.946639,-0.270748,-0.00014592,2.91408e-05,-1.05629e-05,0.0826787,3454.85
3.74876e+07,-0.165357,0.722634,-0.669104,-0.000152864,1.95959e-05,-2.20365e-05,0.0826784,3454.85
3.96333e+07,-0.165357,0.649194,-0.742423,-0.00014416,2.01537e-05,-2.31716e-05,0.0826784,3454.85
4.24252e+07,-0.165355,0.744815,-0.644097,-0.000134211,2.41285e-05,-2.19496e-05,0.0826775,3454.85
9.24552e+07,-0.165354,0.796197,-0.580523,-6.11975e-05,2.13817e-05,-4.24051e-05,0.0826771,3454.85
5.04741e+07,-0.165353,0.961123,-0.219303,-0.000136036,3.24979e-05,-4.03529e-06,0.0826766,3454.85
5.06483e+07,-0.165351,0.700701,-0.69315,-0.00010831,2.02234e-05,-3.30228e-05,0.0826757,3454.85
5.13985e+07,-0.16535,0.824482,-0.540493,-0.000122696,2.86272e-05,-1.87979e-05,0.0826752,3454.85
3.76792e+07,-0.165345,0.60754,-0.775698,-0.000152633,1.57993e-05,-2.50829e-05,0.0826725,3454.85
8.62183e+07,-0.165344,0.733526,-0.656759,-6.61574e-05,1.87274e-05,-4.45133e-05,0.0826721,3454.85
