Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
7.77239e+07,-0.168936,0.121291,-0.978136,-5.70765e-05,5.58647e-06,-1.5625e-05,0.0844678,3454.85
7.35882e+07,-0.19083,0.10535,-0.975954,-5.98407e-05,5.58647e-06,-1.51377e-05,0.0954149,3454.85
8.2328e+07,-0.150004,0.16382,-0.975019,-5.39739e-05,8.6614e-06,-1.5625e-05,0.075002,3454.85
7.40942e+07,-0.211342,0.2367,-0.948318,-5.98407e-05,1.11729e-05,-1.41603e-05,0.105671,3454.85
8.47787e+07,-0.134113,0.215537,-0.967242,-5.11064e-05,1.11729e-05,-1.5625e-05,0.0670567,3454.85
7.53947e+07,-0.263857,0.397138,-0.879011,-5.98407e-05,1.67594e-05,-1.22945e-05,0.131929,3454.85
8.39377e+07,-0.187127,0.348812,-0.918321,-5.39739e-05,1.67594e-05,-1.36987e-05,0.0935633,3454.85
7.61426e+07,-0.282424,0.502094,-0.817397,-5.98407e-05,1.99539e-05,-1.04167e-05,0.141212,3454.85
7.55557e+07,-0.322394,0.618027,-0.717011,-5.98407e-05,2.23459e-05,-8.84762e-06,0.161197,3454.85
8.34802e+07,-0.264533,0.550819,-0.791594,-5.53978e-05,2.23459e-05,-1.04167e-05,0.132267,3454.85
7.51068e+07,-0.366526,0.753139,-0.546297,-5.98407e-05,2.57761e-05,-5.20833e-06,0.183263,3454.85
7.79964e+07,-0.451502,0.83566,-0.312758,-5.98407e-05,2.76039e-05,0,0.225751,3454.85
7.91175e+07,-0.387425,0.820151,-0.421015,-5.52735e-05,2.79324e-05,-5.20833e-06,0.193713,3454.85
7.86994e+07,-0.440916,0.831133,-0.338839,-5.9276e-05,2.79324e-05,0,0.220458,3454.85
8.37516e+07,-0.128418,0.0486826,-0.990525,-4.81072e-05,0,-1.72596e-05,0.0642088,3454.85
8.42496e+07,-0.133378,0.089072,-0.987054,-4.81072e-05,5.58647e-06,-1.6985e-05,0.066689,3454.85
8.62137e+07,-0.141485,0.194161,-0.970713,-4.81072e-05,1.11729e-05,-1.60651e-05,0.0707426,3454.85
8.68185e+07,-0.12983,0.257504,-0.957516,-4.81072e-05,1.26851e-05,-1.5625e-05,0.0649149,3454.85
8.52452e+07,-0.24113,0.487703,-0.839048,-5.39739e-05,2.23459e-05,-1.08666e-05,0.120565,3454.85
8.47189e+07,-0.270873,0.632795,-0.725395,-5.39739e-05,2.29589e-05,-1.04167e-05,0.135436,3454.85
8.77461e+07,-0.136614,0.279068,-0.950504,-4.81072e-05,1.67594e-05,-1.46181e-05,0.068307,3454.85
9.17452e+07,-0.183029,0.406444,-0.895156,-4.81072e-05,2.23459e-05,-1.23617e-05,0.0915143,3454.85
7.94865e+07,-0.324613,0.705348,-0.630167,-5.39739e-05,2.79324e-05,-5.92495e-06,0.162307,3454.85
7.95342e+07,-0.33975,0.821837,-0.457333,-5.39739e-05,2.84696e-05,-5.20833e-06,0.169875,3454.85
8.00201e+07,-0.386001,0.862546,-0.327135,-5.39739e-05,3.04893e-05,0,0.193001,3454.85
8.4974e+07,-0.256002,0.560249,-0.782222,-5.39739e-05,2.26524e-05,-1.06416e-05,0.128001,3454.85
8.43543e+07,-0.252832,0.519261,-0.815321,-5.46859e-05,2.23459e-05,-1.06416e-05,0.126416,3454.85
8.40989e+07,-0.267703,0.591807,-0.758495,-5.46859e-05,2.26524e-05,-1.04167e-05,0.133851,3454.85
7.02508e+07,-0.370698,0.702991,-0.584096,-6.2774e-05,2.24308e-05,-7.02798e-06,0.185349,3454.85
7.03128e+07,-0.357859,0.640252,-0.677261,-6.2774e-05,2.23459e-05,-7.13661e-06,0.178929,3454.85
