x,y,z,T_TCAM
-7.66E-06,7.31E-21,-0.000108318,2393.063672
-5.20E-05,1.25E-05,-0.000113404,2392.820519
-2.44E-05,7.31E-21,-0.000119259,2392.27014
-4.82E-05,7.96E-06,-0.000115668,2392.118636
-1.15E-05,1.67E-06,-0.00011292,2391.63183
-0.000230798,1.25E-05,-4.69E-05,2391.552421
-3.63E-06,1.21E-05,-9.65E-05,2390.840899
-2.45E-05,2.01E-06,-0.000119205,2390.838445
-0.000122881,5.15E-05,-6.51E-05,2390.391576
-3.17E-05,7.31E-21,-0.000119425,2390.29958
-1.95E-05,5.01E-05,-5.23E-05,2389.930009
-1.44E-05,1.02E-05,-0.00011209,2388.780479
-2.11E-05,9.59E-06,-0.000116242,2388.236783
-3.22E-05,1.29E-05,-0.000116043,2385.988298
-8.16E-06,3.81E-05,-6.46E-05,2385.591301
-0.000125085,2.60E-05,-8.79E-05,2385.300113
-7.42E-08,8.14E-06,-9.25E-05,2385.213024
-5.15E-05,3.04E-05,-0.000101284,2384.922902
-1.74E-05,5.91E-05,-3.08E-05,2383.657967
-2.51E-05,1.63E-05,-0.000113117,2383.088706
-0.000101028,9.81E-06,-0.00010062,2382.177014
-3.02E-05,7.11E-06,-0.000118536,2381.9726
-4.15E-05,7.27E-05,-8.25E-06,2381.82592
-0.000151508,7.29E-05,-1.26E-05,2381.620943
2.44E-06,1.08E-05,-8.53E-05,2381.569024
-0.00013848,8.31E-06,-8.90E-05,2380.759644
-1.83E-05,2.15E-06,-0.000117674,2380.748056
2.91E-05,2.43E-05,-2.08E-05,2379.996268
-1.69E-05,1.05E-05,-0.000113903,2379.517768
-5.77E-07,1.63E-05,-8.63E-05,2379.174982
-0.000108897,5.12E-05,-7.08E-05,2379.098302
-0.000178461,4.09E-05,-6.22E-05,2378.560335
1.66E-05,3.54E-05,-2.94E-05,2378.178979
-0.00020618,5.34E-05,-2.72E-05,2378.123129
-9.16E-06,1.73E-05,-0.000100434,2377.907278
-0.000259565,4.16E-20,0,2376.618934
-0.000259565,4.07E-20,0,2376.618934
-0.000259565,4.16E-20,0,2376.618934
-5.35E-05,4.33E-05,-8.51E-05,2376.150459
-0.000176362,1.17E-05,-7.59E-05,2375.842485
-0.000244175,7.31E-21,-3.78E-05,2375.478038
-1.19E-05,3.98E-06,-0.000113078,2374.891679
-6.32E-05,6.84E-05,-3.73E-05,2374.325003
-0.000186574,2.32E-05,-6.85E-05,2374.210261
3.61E-05,7.09E-06,-2.16E-05,2373.156642
-0.000165278,5.03E-05,-5.65E-05,2372.686558
-0.000138167,6.21E-05,-4.90E-05,2372.362159
-1.25E-05,2.90E-06,-0.000113943,2371.48815
-6.64E-06,2.76E-06,-0.000106744,2371.477194
-2.12E-05,4.26E-06,-0.000118446,2370.433809
-4.51E-05,3.54E-05,-9.58E-05,2370.355602
-8.74E-05,7.82E-05,0,2370.231177
-8.74E-05,7.82E-05,0,2370.231177
-8.74E-05,7.82E-05,0,2370.231177
-8.74E-05,7.82E-05,0,2370.231177
-3.94E-05,3.38E-05,-9.74E-05,2369.544474
3.13E-05,1.24E-05,-2.85E-05,2367.489504
-6.07E-05,6.21E-06,-0.000113596,2366.017418
-3.37E-05,2.97E-05,-0.000101757,2365.64656
-1.08E-05,3.28E-06,-0.000112319,2364.726816
6.73E-06,4.34E-06,-8.00E-05,2364.665158
-2.53E-05,2.77E-05,-0.000101492,2364.244784
-0.00011787,6.15E-05,-5.59E-05,2363.715764
-0.000209881,3.71E-05,-4.75E-05,2363.542475
-4.40E-05,8.65E-06,-0.000116869,2363.535634
-0.000181152,6.79E-05,-1.26E-05,2362.269158
-1.84E-05,2.27E-05,-0.000103848,2361.709658
-5.03E-06,2.83E-05,-7.89E-05,2360.988611
-8.79E-06,1.00E-05,-0.000106812,2359.649054
-2.95E-05,1.39E-05,-0.000115811,2358.965679
-5.60E-05,7.28E-05,-2.19E-05,2358.915332
-2.65E-05,3.25E-05,-9.52E-05,2358.56023
-2.35E-05,3.11E-05,-9.56E-05,2357.400671
-0.000193436,3.38E-05,-6.11E-05,2357.242697
-3.80E-05,4.35E-06,-0.000118851,2356.802648
-1.16E-05,1.35E-05,-0.000107476,2356.191369
3.03E-05,2.96E-05,-1.46E-05,2355.585816
-1.28E-05,7.31E-21,-0.000114721,2354.408253
-0.000192321,7.31E-21,-7.36E-05,2353.688728
-8.93E-08,3.09E-06,-9.53E-05,2353.42882
-4.63E-05,1.23E-05,-0.000115416,2353.390393
-2.77E-05,4.74E-05,-6.79E-05,2353.176188
2.94E-05,3.82E-05,-6.88E-06,2352.848438
-3.52E-05,4.07E-05,-8.57E-05,2352.845199
-4.12E-05,3.17E-06,-0.000118592,2352.65336
-1.16E-05,1.03E-05,-0.00011009,2352.428061
-0.000195725,6.53E-05,0,2352.356142
-0.000195725,6.53E-05,0,2352.356142
-0.000195725,6.53E-05,0,2352.356142
-0.000195725,6.53E-05,0,2352.356142
-0.000195725,6.53E-05,0,2352.356142
-0.000195725,6.53E-05,0,2352.356142
-0.000195725,6.53E-05,0,2352.356142
-2.92E-05,1.73E-06,-0.00011988,2352.256936
-0.000202534,1.16E-05,-6.62E-05,2352.056504
-3.84E-06,6.93E-06,-0.000101111,2350.877895
1.12E-05,1.12E-05,-6.65E-05,2350.808641
-2.65E-05,7.31E-21,-0.000119889,2350.565995
-5.61E-06,7.31E-21,-0.000105745,2350.141718
-0.000140133,1.66E-05,-8.84E-05,2349.518652
-0.000112666,7.78E-05,-1.18E-05,2348.698547
-3.73E-06,6.07E-05,-1.06E-05,2347.954526
-1.27E-05,4.97E-06,-0.000113857,2347.489401
-0.000139996,5.39E-05,-6.22E-05,2347.193343
-3.39E-05,1.76E-05,-0.000113813,2346.947651
-2.16E-05,2.96E-05,-9.71E-05,2346.315109
-4.08E-05,4.23E-05,-8.55E-05,2346.177165
-5.65E-05,7.72E-05,0,2345.780671
-5.65E-05,7.72E-05,0,2345.780671
-5.65E-05,7.72E-05,0,2345.780671
-5.65E-05,7.72E-05,0,2345.780671
-4.43E-06,3.46E-05,-6.71E-05,2345.48097
-0.000226998,5.18E-05,0,2344.816077
-0.000226998,5.18E-05,0,2344.816077
-0.000226998,5.18E-05,0,2344.816077
-0.000226998,5.18E-05,0,2344.816077
-0.000226998,5.18E-05,0,2344.816077
-7.68E-05,7.85E-05,0,2344.802068
-7.68E-05,7.85E-05,0,2344.802068
-7.68E-05,7.85E-05,0,2344.802068
-9.36E-06,4.19E-05,-6.01E-05,2344.334057
-2.77E-05,3.51E-06,-0.00011975,2343.982395
-8.41E-06,1.26E-05,-0.000104695,2343.849694
-7.58E-05,5.96E-05,-6.18E-05,2343.574354
-1.90E-05,7.31E-21,-0.000118462,2343.465819
-1.46E-05,2.30E-05,-0.000100608,2343.110754
-0.00021797,2.41E-05,-5.60E-05,2342.618693
-0.000208654,5.82E-05,-1.92E-05,2342.290622
-7.50E-05,1.36E-05,-0.000108476,2341.572616
-2.13E-05,1.61E-05,-0.000112644,2340.855918
-2.65E-05,3.07E-05,-9.86E-05,2339.798203
-1.99E-05,3.20E-05,-9.19E-05,2339.407506
-0.000100974,5.93E-05,-6.23E-05,2339.154584
-8.48E-06,2.66E-05,-8.78E-05,2338.271783
-9.45E-06,4.24E-06,-0.000110762,2337.929603
-9.33E-06,6.34E-05,-1.27E-05,2337.751182
-6.13E-05,7.20E-05,-2.91E-05,2337.476535
-1.36E-05,1.63E-05,-0.000107415,2336.972392
-3.53E-05,1.35E-05,-0.000116473,2335.773025
-2.84E-05,7.31E-21,-0.000120149,2334.098417
1.40E-05,5.54E-05,0,2333.529665
1.40E-05,5.54E-05,0,2333.529665
1.40E-05,5.54E-05,0,2333.529665
1.40E-05,5.54E-05,0,2333.529665
-0.000163933,7.39E-05,0,2333.167413
-0.000163933,7.39E-05,0,2333.167413
-0.000163933,7.39E-05,0,2333.167413
-0.000163933,7.39E-05,0,2333.167413
-0.000163933,7.39E-05,0,2333.167413
-0.000129383,7.31E-21,-9.51E-05,2331.541155
-1.59E-05,2.99E-05,-9.18E-05,2330.798149
-3.44E-05,4.69E-05,-7.46E-05,2330.216893
-2.80E-05,2.87E-05,-0.000102212,2330.082293
-5.72E-05,1.15E-05,-0.000114067,2328.849398
-3.95E-05,2.53E-05,-0.000108298,2328.492939
-3.08E-05,3.84E-05,-8.86E-05,2327.659608
-2.37E-05,5.19E-06,-0.000119154,2327.15674
-2.72E-05,5.42E-05,-5.43E-05,2326.915295
-0.000121244,4.70E-05,-7.54E-05,2326.141638
-1.72E-05,2.01E-05,-0.000106774,2325.857761
-2.80E-05,2.36E-05,-0.000108298,2325.636847
-3.54E-05,6.34E-06,-0.00011923,2325.472893
-1.39E-05,3.29E-06,-0.000115469,2324.747814
-9.45E-06,7.24E-06,-0.000109899,2323.153926
-3.95E-05,1.68E-05,-0.000114734,2322.346619
-2.35E-05,1.33E-05,-0.000115677,2322.298879
-7.96E-05,1.85E-05,-0.000106122,2321.475498
-7.23E-05,7.31E-21,-0.000112026,2320.428494
-1.04E-05,1.80E-05,-0.000102571,2320.153858
-0.000155958,4.62E-05,-6.97E-05,2317.860636
-1.48E-05,1.81E-06,-0.000116471,2317.561606
7.96E-06,1.92E-05,-6.83E-05,2317.385718
-6.23E-06,1.30E-05,-0.000101658,2315.615202
4.62E-06,5.07E-06,-8.56E-05,2314.846659
-9.87E-06,7.31E-21,-0.000112259,2314.797446
-2.18E-05,4.78E-05,-6.36E-05,2314.719862
-0.000101457,7.82E-05,-1.77E-05,2314.46847
-0.000166578,7.05E-05,-2.53E-05,2314.149111
-1.83E-05,2.54E-05,-0.000101402,2312.958373
-2.66E-05,5.11E-06,-0.000119754,2312.921179
-4.30E-05,7.31E-21,-0.00011921,2310.83695
-7.28E-05,2.16E-05,-0.000106654,2309.947871
-6.42E-05,7.80E-05,-9.33E-06,2309.24919
-2.10E-05,1.87E-05,-0.000110779,2309.160062
-0.000247537,3.02E-05,-2.77E-05,2307.541439
-1.81E-05,1.41E-05,-0.000113137,2306.653916
-2.63E-05,1.31E-05,-0.000116651,2306.606643
-8.96E-05,6.56E-05,-5.41E-05,2306.144127
-1.65E-05,3.58E-06,-0.000117294,2305.812901
-0.000239448,4.32E-05,-1.92E-05,2305.193736
6.58E-07,2.99E-05,-6.81E-05,2304.54417
-7.10E-05,7.05E-05,-4.12E-05,2304.37133
-2.32E-05,4.06E-05,-8.04E-05,2302.874972
-0.000260915,1.77E-05,-1.87E-05,2302.23171
-1.59E-05,4.08E-05,-7.26E-05,2301.753431
-3.26E-05,7.44E-06,-0.000119474,2301.032063
-6.35E-05,1.93E-05,-0.000110132,2300.23233
-0.000116234,5.70E-05,-6.61E-05,2299.465825
-4.48E-05,4.10E-05,-9.05E-05,2298.860352
-0.000114477,3.82E-05,-8.67E-05,2298.187794
-6.05E-06,1.65E-05,-9.85E-05,2296.9615
-3.83E-05,8.43E-06,-0.000118866,2296.561958
-1.72E-05,3.49E-05,-8.54E-05,2296.32558
