delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
432.883,220.651,21.445,-0.843531,-0.00405559,-0.535003,-151.774,2,-9.69168,0.421766,4051.75,3454.85,3022.37,3454.85,3887.32,3021.96
446.162,222.404,20.6533,-0.843446,-0.0218827,-0.535006,-152.772,1.5,-8.23164,0.421723,4050.96,3454.85,3018.94,3454.85,3890.76,3008.68
441.984,221.425,21.0124,-0.843326,-0.0120202,-0.535169,-152.386,2,-8.77303,0.421663,4050.68,3454.85,3020.85,3454.85,3888.84,3012.86
437.806,220.446,21.3734,-0.843206,-0.0021576,-0.535332,-152,2.5,-9.31442,0.421603,4050.41,3454.85,3022.77,3454.85,3886.92,3017.04
447.093,222.479,20.5915,-0.843116,-0.0226123,-0.535493,-152.836,1.5,-8.14557,0.421558,4050.71,3454.85,3018.79,3454.85,3890.91,3007.75
409.67,221.15,21.7924,-0.843061,-0.00806061,-0.53644,-150.643,0,-11.6029,0.42153,4056.68,3454.85,3021.39,3454.85,3888.3,3045.18
442.915,221.5,20.9505,-0.842996,-0.0127498,-0.535656,-152.45,2,-8.68696,0.421498,4050.43,3454.85,3020.71,3454.85,3888.99,3011.93
438.737,220.521,21.3114,-0.842876,-0.0028872,-0.535818,-152.064,2.5,-9.22834,0.421438,4050.16,3454.85,3022.62,3454.85,3887.07,3016.11
414.593,220.945,21.7208,-0.842735,-0.00616261,-0.536769,-150.87,0.5,-11.2257,0.421367,4055.34,3454.85,3021.79,3454.85,3887.9,3040.25
443.845,221.576,20.8886,-0.842666,-0.0134794,-0.536142,-152.515,2,-8.60089,0.421333,4050.18,3454.85,3020.56,3454.85,3889.13,3011
448.412,222.486,20.5152,-0.842606,-0.023631,-0.536305,-152.928,1.5,-8.03455,0.421303,4050.2,3454.85,3018.77,3454.85,3890.92,3006.43
439.667,220.597,21.2493,-0.842546,-0.0036168,-0.536305,-152.129,2.5,-9.14227,0.421273,4049.91,3454.85,3022.48,3454.85,3887.22,3015.18
419.517,220.74,21.6492,-0.842409,-0.00426462,-0.537098,-151.096,1,-10.8484,0.421205,4054,3454.85,3022.2,3454.85,3887.5,3035.33
444.775,221.651,20.8267,-0.842336,-0.014209,-0.536629,-152.579,2,-8.51481,0.421168,4049.94,3454.85,3020.41,3454.85,3889.28,3010.07
440.597,220.672,21.1873,-0.842216,-0.0043464,-0.536792,-152.193,2.5,-9.0562,0.421108,4049.66,3454.85,3022.33,3454.85,3887.36,3014.25
