x,y,z,nearest_et_grid_distance_um,T_ET,T_TCAM,P,V,A,k,Cp,rho,Tliq,Tevap,case_id,T_warped_ET,r_3d,delta_T_warped,delta_T,rear_liquidus_sample
-105.13356616875429,58.29084792711895,-125.0,1.3547324830520833,372.2231784676215,428.8417997765968,50.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_0.5ms,417.1885788055723,173.42401704326406,11.653220971024496,11.653220971024496,False
-46.8908,5.49974e-16,-73.9702,0.8912983114535779,1094.4403842838292,2018.8864898832178,150.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_150W_0.5ms,2706.8533995064913,87.58046364732263,-687.9669096232735,-687.9669096232735,False
-54.89120458110784,29.03553598750011,-31.250000000000007,1.5122620265003757,1264.9278058465486,1629.781092901836,150.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_150W_1.5ms,1534.254335058378,69.51740206916863,95.52675784345797,95.52675784345797,False
-37.6787,4.20535,-56.4938,0.6238916191935685,750.9362953097864,4525.837381323902,350.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_1.5ms,2975.884318228542,68.03615833328995,1549.9530630953604,1549.9530630953604,False
23.227183223329696,8.743627189067842,-68.75,1.308712025857475,397.3387448675423,506.2105489149067,50.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_0.5ms,410.58718850002003,73.09251368581829,95.62336041488669,95.62336041488669,False
-205.72295594877764,200.0,-209.1437845168801,0.8999213075886189,707.4968036991797,437.3967342902188,150.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_150W_0.1ms,298.0,355.0535976530105,139.39673429021877,139.39673429021877,False
-11.1943,9.76894,-227.431,1.0130657498899165,953.003237817326,3518.568935383462,250.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_250W_0.1ms,3149.2567197152703,227.91578335475936,369.3122156681916,369.3122156681916,False
-56.107000000000006,5.082197683525802e-15,-2.842170943040401e-14,0.10700000000000642,7537.895899629415,5333.270083962011,150.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_150W_0.1ms,4929.292847130454,56.107000000000006,403.9772368315571,403.9772368315571,False
-575.3302726148224,16.666666666666664,-41.66666666666666,1.0020430759265582,466.4250422208442,391.5651890776728,50.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_1.5ms,298.0,577.0778209877197,93.56518907767281,93.56518907767281,False
-115.9345,63.4313,-33.3609,0.8579969405540062,3768.3980397113005,2885.9258474511157,350.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.5ms,2117.960844871307,136.29852441882855,767.9650025798087,767.9650025798087,False
-2.57436,6.30743,-182.38600000000002,0.7572308858597863,1317.680095734368,5792.901462015858,250.0,0.1,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_250W_0.1ms,3623.5785820945116,182.5131885607572,2169.322879921346,2169.322879921346,False
11.741434134996624,4.166666666666666,-49.479166666666664,0.6048978801697564,326.06359671058493,396.208924869436,50.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_50W_1.5ms,341.75318266091267,51.023625122930575,54.455742208523304,54.455742208523304,False
-119.76262817696296,9.67851199583337,-52.08333333333334,0.40822097403172586,920.9423941326717,1223.910025331136,150.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_150W_1.5ms,1215.5725925433069,130.95584871787165,8.33743278782913,8.33743278782913,False
-155.4685,41.6107,-81.5988,0.771367733315322,1137.9827854851449,1945.9359158651203,350.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_1ms,2024.80948199056,180.44464250340047,-78.87356612543977,-78.87356612543977,False
-61.3477,25.176350000000003,-7.24815,1.2919647963470344,8007.698749747204,5063.752121256052,350.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_1ms,5238.8365232049855,66.70775496923127,-175.0844019489332,-175.0844019489332,False
-48.10720513481352,0.0,-10.416666666666668,0.43023720439017493,3956.0756680982754,4143.198919424209,150.0,1.0,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_150W_1ms,4421.114218743301,49.22204922925774,-277.9152993190919,-277.9152993190919,False
11.57398066311911,200.0,-15.758098731068342,0.48990682716940454,298.2342336987547,299.71092369524115,350.0,1.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_1.5ms,298.0,200.95341426312805,1.7109236952411493,1.7109236952411493,False
-41.0069,24.0551,-172.334,1.0492090449476594,359.5547052521733,1703.7307646168442,350.0,0.5,0.5902430852646028,36.27217,264.1654169316529,18038.93493,3454.846466711204,5798.06517,alloy0_350W_0.5ms,2952.683712988837,178.77142176427418,-1248.952948371993,-1248.952948371993,False
