delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
-555.089,221.27,41.2202,-0.466678,0.750727,-0.467569,-72,24,-62.133,0.233339,2365.3,3454.85,3021.16,3454.85,3888.53,4009.94
-513.114,221.046,47.8133,-0.339407,0.828977,-0.444522,-64,27.8559,-62.5,0.169703,2221.93,3454.85,3021.6,3454.85,3888.1,3967.96
-495.347,218.148,54.55,-0.1701,0.881894,-0.439692,-56,30.2897,-62.5,0.08505,2104.54,3454.85,3027.28,3454.85,3882.42,3950.19
-511.608,229.182,63.3517,-0.00440627,0.895965,-0.444103,-48,31.0155,-62.5,0.00220313,1995.5,3454.85,3005.65,3454.85,3904.04,3966.45
-510.055,211.525,55.1067,-0.160953,0.875064,-0.456462,-56,32,-58.9798,0.0804766,2281.59,3454.85,3040.26,3454.85,3869.44,3964.9
-524.904,225.207,63.7499,-0.00139106,0.89061,-0.454766,-48,32,-60.4521,0.00069553,2098.3,3454.85,3013.44,3454.85,3896.25,3979.75
-228.529,215.059,22.6678,-0.524178,0.29217,-0.799921,-112,0,-48.6153,0.262089,3341.34,3454.85,3033.33,3454.85,3876.36,3683.38
-427.704,214.181,22.7376,-0.531957,0.306668,-0.789289,-101.154,0,-54.6875,0.265978,3042.48,3454.85,3035.05,3454.85,3874.64,3882.55
-377.29,214.19,21.7529,-0.48671,0.314481,-0.814994,-104,0,-52.927,0.243355,3140.71,3454.85,3035.03,3454.85,3874.66,3832.14
-517.215,199.536,23.9755,-0.580328,0.337252,-0.74127,-96,7.67926,-54.6875,0.290164,3030.69,3454.85,3063.75,3454.85,3845.94,3972.06
-376.84,193.052,21.544,-0.469463,0.351319,-0.810049,-104,8,-49.7717,0.234731,3302.41,3454.85,3076.46,3454.85,3833.23,3831.69
-519.112,199.226,23.9996,-0.581483,0.339591,-0.739294,-95.8616,8,-54.6875,0.290742,3029.83,3454.85,3064.36,3454.85,3845.33,3973.96
-517.409,198.996,23.9498,-0.579399,0.338912,-0.741239,-96,8,-54.557,0.2897,3037.98,3454.85,3064.81,3454.85,3844.88,3972.26
-515.731,206.265,26.7125,-0.541536,0.488658,-0.68407,-90.9741,16,-54.6875,0.270768,2968.38,3454.85,3050.57,3454.85,3859.12,3970.58
-447.913,197.202,24.6169,-0.505228,0.433461,-0.746228,-96,16,-50.7756,0.252614,3207.95,3454.85,3068.33,3454.85,3841.36,3902.76
-521.164,210.985,28.274,-0.510268,0.547679,-0.66308,-88,18.502,-54.6875,0.255134,2936.09,3454.85,3041.32,3454.85,3868.38,3976.01
-542.651,215.545,33.4573,-0.433702,0.69597,-0.572301,-80.3262,24,-54.6875,0.216851,2846.12,3454.85,3032.38,3454.85,3877.31,3997.5
