x,y,z,temp,G,R
107.0,4.0,-47.060574,3454.8464,58399695.661212265,0.05834083278608282
95.96698,5.0,-48.0,3454.8464,64505275.43163202,0.031278806556510316
95.0,5.9469767,-48.0,3454.8464,65037979.494562045,0.029081665520932352
96.0,5.0,-47.997993,3454.8464,64486627.06711231,0.031358134232897454
97.0,5.0,-47.932926,3454.8464,63924407.646459274,0.03376634877120309
98.0,5.0,-47.862953,3454.8464,63363721.42938225,0.03618485087558122
99.0,5.0,-47.788033,3454.8464,62804582.6124614,0.03861388762783629
100.0,5.0,-47.70814,3454.8464,62247006.771525264,0.04105370425634304
101.0,5.0,-47.623234,3454.8464,61691010.81979026,0.04350454373427614
102.0,5.0,-47.533283,3454.8464,61136612.96306947,0.045966646388316705
103.0,5.0,-47.43825,3454.8464,60583832.65219605,0.04844024951937666
104.0,5.0,-47.3381,3454.8464,60032690.53282281,0.05092558703684706
105.0,5.0,-47.232796,3454.8464,59483208.392744884,0.05342288910788412
106.0,5.0,-47.122303,3454.8464,58935409.10691566,0.055932381823046676
107.0,5.0,-47.00658,3454.8464,58389316.580322884,0.058454286879630474
94.94194,6.0,-48.0,3454.8464,65070162.86940574,0.028949533960654
94.0,6.7249117,-48.0,3454.8464,65591421.39817533,0.026808303506706894
95.0,6.0,-47.99674,3454.8464,65037288.71823723,0.029088485790457596
96.0,6.0,-47.9362,3454.8464,64473542.98850159,0.03148764191033351
97.0,6.0,-47.870777,3454.8464,63911325.84662855,0.03389681768570694
98.0,6.0,-47.800438,3454.8464,63350650.10263716,0.036316259570284726
99.0,6.0,-47.72515,3454.8464,62791529.977273375,0.038746212538083115
100.0,6.0,-47.644882,3454.8464,62233981.0632202,0.04118691967533064
101.0,6.0,-47.559593,3454.8464,61678020.28324792,0.04363862178130164
102.0,6.0,-47.46925,3454.8464,61123665.845452085,0.046101556979762724
103.0,6.0,-47.37382,3454.8464,60570937.19571932,0.048575960342554354
104.0,6.0,-47.273266,3454.8464,60019854.967576645,0.051062063526742155
105.0,6.0,-47.16755,3454.8464,59470440.92957501,0.05356009442692167
106.0,6.0,-47.056637,3454.8464,58922717.930381246,0.056070276843928936
92.0,7.9398904,-48.0,3454.8464,66705880.381124884,0.022257742721771757
93.61346,7.0,-48.0,3454.8464,65806525.99011314,0.025928541111494813
